,split_ols
1M,0.000644991637720051
fp_1,4.749874274793722e-05
fp_4,5.1731835318707836e-05
fp_9,3.8931295427398586e-06
fp_10,6.251195259747884e-05
int_0,5.0787376038676834e-05
int_4,6.415464854346878e-05
int_11,1.9266394742638887e-05
int_15,0.12233209467572427
srv_10,6.557111060775176e-05
