,dnns
1M,0.0010162057052995185
fp_1,0.0001403279947464103
fp_4,0.00011768793725897873
fp_9,0.00010426105743511566
fp_10,0.00016445281756825422
int_0,0.00010476034254129196
int_4,0.00016176898530013438
int_11,5.4583466166010296e-05
int_15,0.00010022232582102431
srv_10,6.595917514733618e-05
