,regular_dnn
1M,0.0017014570912857862
fp_1,0.00018443821783489616
fp_4,0.0002071428197910697
fp_9,0.000279384938132803
fp_10,0.00011470335520213239
int_0,6.579423038300209e-05
int_4,0.00022397346977453628
int_11,9.204294978342862e-05
int_15,0.00011273242178795393
srv_10,0.00020363426815093468
