,dnns2
1M,0.0011093274107234214
fp_1,0.00012752183207073007
fp_4,0.0001183446983768908
fp_9,0.00010426105743511566
fp_10,0.00016662188485663877
int_0,0.0001053092943464218
int_4,0.00016345259646439428
int_11,5.4375320071268955e-05
int_15,9.906879946630301e-05
srv_10,6.0217298863707135e-05
