,split_dnn
1M,0.0035835766327031774
fp_1,0.00016860752323215244
fp_4,0.00025962573024412985
fp_9,4.2125814375940196e-06
fp_10,0.00037602307886467094
int_0,0.0007374439574228882
int_4,0.0003444767998842483
int_11,9.915196401923208e-05
int_15,0.00024294615399204507
srv_10,0.00046864044985586446
