epochs,width,rate,error
20,200,0.001,0.000836819431973
20,150,0.001,0.00086837220224
20,200,0.001,0.000870088159684
20,150,0.001,0.000870338629268
20,200,0.001,0.000871428728657
20,100,0.001,0.00087554335062
20,200,0.001,0.000892942530229
20,150,0.001,0.000897525415041
20,150,0.001,0.000915615762631
20,150,0.001,0.000919726115211
20,100,0.001,0.000925656545736
20,100,0.001,0.000930714908037
20,100,0.001,0.000931384593152
20,100,0.001,0.000962879315548
20,200,0.001,0.000990672629557
20,50,0.001,0.001083860214283
20,50,0.001,0.001097339697379
20,50,0.001,0.001105818614334
20,50,0.001,0.001126873943269
20,50,0.001,0.00116153849224
