,s-1l,s-1u,s-2l,s-2u
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
11,0.999991521704938,1.0,0.999991521704938,1.0
12,0.999991521704938,1.0,0.999991521704938,1.0
13,0.999991521704938,1.0,0.999991521704938,1.0
14,0.999991521704938,1.0,0.999991521704938,1.0
15,0.999991521704938,1.0,0.999991521704938,1.0
16,0.999991521704938,1.0,0.999991521704938,1.0
17,0.999991521704938,1.0,0.999991521704938,1.0
18,0.999991521704938,1.0,0.999991521704938,1.0
19,0.999991521704938,1.0,0.999991521704938,1.0
20,0.999991521704938,1.0,0.999991521704938,1.0
21,0.999991521704938,1.0,0.999991521704938,1.0
22,0.999991521704938,1.0,0.999991521704938,1.0
23,0.999991521704938,1.0,0.999991521704938,1.0
24,0.999991521704938,1.0,0.999991521704938,1.0
25,0.999991521704938,1.0,0.999991521704938,1.0
26,0.999991521704938,1.0,0.999991521704938,1.0
27,0.999991521704938,1.0,0.999991521704938,1.0
28,0.999991521704938,1.0,0.999991521704938,1.0
29,0.999991521704938,1.0,0.999991521704938,1.0
30,0.999991521704938,1.0,0.999991521704938,1.0
31,0.999991521704938,1.0,0.999991521704938,1.0
32,0.999991521704938,1.0,0.999991521704938,1.0
33,0.999991521704938,1.0,0.999991521704938,1.0
34,0.999991521704938,1.0,0.999991521704938,1.0
35,0.999991521704938,1.0,0.999991521704938,1.0
36,0.999991521704938,1.0,0.999991521704938,1.0
37,0.999991521704938,1.0,0.999991521704938,1.0
38,0.999991521704938,1.0,0.999991521704938,1.0
40,5.1688402915228346e-08,0.0,0.999991521704938,1.0
41,5.1688402915228346e-08,0.0,0.999991521704938,1.0
42,5.1688402915228346e-08,0.0,0.999991521704938,1.0
43,5.1688402915228346e-08,0.0,0.999991521704938,1.0
44,5.1688402915228346e-08,0.0,0.999991521704938,1.0
46,0.002125263215100981,0.0,5.1688402915228346e-08,0.0
47,0.002125263215100981,0.0,5.1688402915228346e-08,0.0
53,0.9999915738590023,1.0,0.9999915738590023,1.0
54,0.9999915738590023,1.0,0.9999915738590023,1.0
55,0.9999915738590023,1.0,0.9999915738590023,1.0
56,0.9999915738590023,1.0,0.9999915738590023,1.0
57,0.9999915738590023,1.0,0.9999915738590023,1.0
58,0.9999915738590023,1.0,0.9999915738590023,1.0
59,0.9999915738590023,1.0,0.9999915738590023,1.0
60,0.9999915738590023,1.0,0.9999915738590023,1.0
61,0.9999915738590023,1.0,0.9999915738590023,1.0
62,0.9999915738590023,1.0,0.9999915738590023,1.0
63,0.9999915738590023,1.0,0.9999915738590023,1.0
64,0.9999915738590023,1.0,0.9999915738590023,1.0
65,0.9999915738590023,1.0,0.9999915738590023,1.0
71,0.9999915738590023,1.0,0.9999915738590023,1.0
72,0.9999915738590023,1.0,0.9999915738590023,1.0
