epochs,width,rate,error
20.0,200.0,0.00075,0.0009787771548693273
20.0,200.0,0.00075,0.0009542467750333959
20.0,200.0,0.00075,0.0009976455122325703
20.0,200.0,0.00075,0.0009766344118808392
20.0,200.0,0.00075,0.0009746714653986431
20.0,150.0,0.00075,0.0009795894533779993
20.0,150.0,0.00075,0.0010112288773946692
20.0,150.0,0.00075,0.0009810543748868836
20.0,150.0,0.00075,0.000984040863612048
20.0,150.0,0.00075,0.0010148354341988225
20.0,100.0,0.00075,0.0009704948340928717
20.0,100.0,0.00075,0.0010231115444437762
20.0,100.0,0.00075,0.0010221058245926556
20.0,100.0,0.00075,0.001020066433501406
20.0,100.0,0.00075,0.001148741175389507
